Gender,Age Group,Weekly playtime,Overall Atmosphere,Favourite Atmoshphere Aspect,Nostalgic,Intuitive Controls,Difficulties with Controls,Puzzle Difficulty,Easiest Puzzle,Game Theme Communication,Theme Providing Elements,Audio Contribution,Effective Elements Present,InEffective Audio Elements Present,Recommendation Likelihood
What gender do you identify as?,What is your age group?,How many hours would you play games in a given week?,"How would you rate the overall atmosphere of ""Shades of Solitude""?",Which aspect of the game's atmosphere did you find most compelling?,Does this game evoke a feeling of nostalgia?,How intuitive did you find the player controls?,Did you experience any difficulties with the player's controls? If yes(please specify),How challenging did you find the puzzles in the game?,"Was there a particular puzzle that you felt was too difficult or too easy? If yes, please describe.",How well do you think the game communicated its theme?,Which elements of the game helped you understand the theme? (Select all that apply),How did you feel about the audio quality and its contribution to the game atmosphere?,Were there any audio elements you found particularly effective?,Were there any audio elements you found particularly ineffective?,"On a scale of 1-10, how likely are you to recommend ""Shades of Solitude"" to others"
Male,18-24,6-15hrs,Very engaging,Audio Effects,Yes,Very intuitive,No,Just Right,No,Somewhat clearly,Visuals,Enhanced the experience greatly,Yes(Please specify below),Yes(Please specify below),9
Male,18-24,6-15hrs,Somewhat engaging,Pacing of GamePlay,Yes,Very intuitive,No,Just Right,No,Somewhat clearly,Puzzles,Enhanced the experience greatly,Yes(Please specify below),Yes(Please specify below),7
Male,18-24,6-15hrs,Very engaging,Audio Effects,Yes,Very intuitive,No,Very difficult,Yes(Please describe),Somewhat clearly,Text/dialogue,Enhanced the experience greatly,Yes(Please specify below),No,8
Male,25-34,6-15hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Just Right,No,Somewhat clearly,Text/dialogue,Enhanced the experience greatly,Yes(Please specify below),No,8
Male,35-44,1-5hrs,Somewhat engaging,Visual Style,Yes,Somewhat intuitive,Yes(Please Specify),Neutral,Too Easy (Please describe),Somewhat clearly,Text/dialogue,Enhanced the experience greatly,No,No,7
Male,35-44,1-5hrs,Somewhat engaging,Visual Style,Yes,Very intuitive,No,Too Easy,Too Easy (Please describe),Somewhat clearly,Visuals,Enhanced the experience greatly,Yes(Please specify below),No,7
Female,18-24,6-15hrs,Somewhat engaging,Narrative Tone,Yes,Somewhat intuitive,No,Just Right,No,Somewhat unclearly,Visuals;Audio,Somewhat enhanced the experience,Yes(Please specify below),No,6
Female,25-34,1-5hrs,Somewhat engaging,Narrative Tone,Yes,Neutral,No,Neutral,Too Difficult (Please describe),Somewhat clearly,Visuals;Audio;Text/dialogue,Enhanced the experience greatly,Yes(Please specify below),Yes(Please specify below),7
Male,35-44,1-5hrs,Somewhat engaging,Visual Style,Yes,Very intuitive,No,Too Easy,Too Easy (Please describe),Very clearly,Visuals;Text/dialogue,Somewhat enhanced the experience,Yes(Please specify below),Yes(Please specify below),9
Female,18-24,16-30hrs,Neutral,Visual Style,No,Very intuitive,No,Neutral,Too Difficult (Please describe),Very clearly,Visuals;The environment felt like I was imprisoned,Somewhat detracted from the experience,No,Yes(Please specify below),6
Female,18-24,1-5hrs,Somewhat disengaging,Pacing of GamePlay,No,Somewhat intuitive,No,Frustratingly difficult,Too Difficult (Please describe),Somewhat unclearly,Text/dialogue,Did not effect experience,No,Yes(Please specify below),5
Male,18-24,16-30hrs,Somewhat engaging,Visual Style,Yes,Very intuitive,No,Just Right,No,Very clearly,Visuals;Puzzles;Text/dialogue,Enhanced the experience greatly,Yes(Please specify below),No,8
Female,25-34,6-15hrs,Somewhat engaging,Pacing of GamePlay,Yes,Somewhat intuitive,No,Neutral,No,Somewhat clearly,Puzzles;Audio,Somewhat enhanced the experience,No,No,6
Female,35-44,1-5hrs,Very engaging,Pacing of GamePlay,Yes,Somewhat intuitive,No,Just Right,No,Somewhat clearly,Audio;Text/dialogue,Enhanced the experience greatly,Yes(Please specify below),No,8
Male,18-24,16-30hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Neutral,No,Very clearly,Visuals;Text/dialogue,Enhanced the experience greatly,No,No,9
Female,18-24,16-30hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Too Easy,Too Easy (Please describe),Very clearly,Visuals;Puzzles,Enhanced the experience greatly,Yes(Please specify below),No,10
Male,18-24,31-50hrs,Somewhat engaging,Visual Style,No,Very intuitive,No,Frustratingly difficult,Too Difficult (Please describe),Somewhat unclearly,Visuals;Text/dialogue,Did not effect experience,No,No,3
Female,18-24,31-50hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Just Right,No,Very clearly,Visuals;Puzzles;Audio;Text/dialogue,Enhanced the experience greatly,Yes(Please specify below),No,10
Male,25-34,16-30hrs,Somewhat engaging,Audio Effects,Yes,Somewhat intuitive,No,Just Right,No,Very clearly,Visuals;Puzzles;Environment was top notch,Enhanced the experience greatly,No,No,9
Male,45-54,1-5hrs,Somewhat engaging,Narrative Tone,Yes,Neutral,Yes(Please Specify),Just Right,Too Easy (Please describe),Somewhat clearly,Visuals;Text/dialogue;Intro cinematic,Somewhat enhanced the experience,Yes(Please specify below),Yes(Please specify below),7
